complaint_id,customer_id,complaint_date,complaint_type,resolution_status,resolution_days
COMP110004,CUST106988,2025-08-18,Network Issue,Resolved,6
COMP110005,CUST106988,2026-01-25,Billing Issue,Resolved,6
COMP110006,CUST106988,2025-08-10,Network Issue,Resolved,2
COMP110007,CUST106989,2025-10-19,Network Issue,Pending,8
COMP110008,CUST106989,2025-10-12,Billing Issue,Pending,10
COMP110009,CUST106989,2025-12-26,Service Quality,Pending,11
COMP110010,CUST106989,2026-01-18,Billing Issue,Resolved,13
COMP110011,CUST106990,2025-09-17,Billing Issue,Resolved,5
COMP110012,CUST106990,2025-10-03,Network Issue,Pending,2
COMP110013,CUST106991,2025-10-03,Service Quality,Resolved,8
COMP110014,CUST106991,2025-09-04,Billing Issue,Resolved,12
COMP110015,CUST106991,2026-01-21,Network Issue,Resolved,4
COMP110016,CUST106993,2026-01-13,Network Issue,Resolved,3
COMP110017,CUST106993,2025-10-30,Data/Speed Issue,Resolved,2
COMP110018,CUST106993,2026-01-28,Service Quality,Pending,2
COMP110019,CUST106995,2025-12-21,Network Issue,Pending,4
COMP110020,CUST106996,2025-08-19,Service Quality,Resolved,4
COMP110021,CUST106996,2025-12-16,Data/Speed Issue,Resolved,5
COMP110022,CUST106996,2025-12-24,Network Issue,Resolved,10
COMP110023,CUST106996,2026-01-21,Service Quality,Resolved,6
COMP110024,CUST106998,2025-09-22,Billing Issue,Resolved,6
COMP110025,CUST107001,2025-08-18,Billing Issue,Resolved,1
COMP110026,CUST107002,2025-10-02,Data/Speed Issue,Resolved,5
COMP110027,CUST107003,2025-08-10,Billing Issue,Resolved,6
COMP110028,CUST107006,2026-01-17,Billing Issue,Resolved,9
COMP110029,CUST107006,2025-10-29,Billing Issue,Resolved,3
COMP110030,CUST107006,2026-01-12,Network Issue,Pending,7
COMP110031,CUST107006,2025-11-02,Data/Speed Issue,Pending,3
COMP110032,CUST107007,2025-10-11,Billing Issue,Resolved,6
COMP110033,CUST107008,2025-11-11,Data/Speed Issue,Resolved,2
COMP110034,CUST107008,2025-10-26,Data/Speed Issue,Resolved,2
COMP110035,CUST107008,2025-09-03,Data/Speed Issue,Pending,6
COMP110036,CUST107009,2025-08-24,Network Issue,Resolved,3
COMP110037,CUST107009,2026-01-24,Service Quality,Pending,11
COMP110038,CUST107009,2026-01-13,Data/Speed Issue,Resolved,12
COMP110039,CUST107011,2026-01-03,Billing Issue,Resolved,3
COMP110040,CUST107013,2025-12-30,Service Quality,Resolved,3
COMP110041,CUST107014,2025-12-06,Other,Pending,9
COMP110042,CUST107014,2025-08-27,Other,Pending,12
COMP110043,CUST107014,2025-12-26,Network Issue,Pending,14
COMP110044,CUST107015,2025-12-30,Data/Speed Issue,Resolved,2
COMP110045,CUST107015,2025-10-16,Billing Issue,Resolved,6
COMP110046,CUST107015,2025-10-09,Billing Issue,Resolved,6
COMP110047,CUST107016,2025-11-24,Billing Issue,Pending,4
COMP110048,CUST107017,2025-08-28,Data/Speed Issue,Resolved,2
COMP110049,CUST107017,2025-10-02,Network Issue,Resolved,3
COMP110050,CUST107018,2025-08-17,Network Issue,Resolved,13
COMP110051,CUST107018,2025-12-03,Billing Issue,Pending,8
COMP110052,CUST107018,2025-10-10,Other,Pending,10
COMP110053,CUST107019,2025-11-29,Billing Issue,Resolved,9
COMP110054,CUST107019,2025-11-15,Service Quality,Resolved,13
COMP110055,CUST107019,2025-08-31,Service Quality,Pending,4
COMP110056,CUST107019,2025-08-10,Billing Issue,Resolved,12
COMP110057,CUST107021,2025-10-20,Service Quality,Pending,8
COMP110058,CUST107021,2025-10-15,Service Quality,Pending,4
COMP110059,CUST107021,2025-12-07,Billing Issue,Resolved,14
COMP110060,CUST107021,2026-01-22,Network Issue,Pending,14
COMP110061,CUST107023,2025-11-25,Service Quality,Resolved,1
COMP110062,CUST107024,2025-08-21,Service Quality,Pending,1
COMP110063,CUST107024,2025-10-08,Data/Speed Issue,Resolved,1
COMP110064,CUST107024,2025-08-31,Data/Speed Issue,Resolved,3
COMP110065,CUST107026,2025-11-13,Network Issue,Resolved,4
COMP110066,CUST107026,2026-01-13,Billing Issue,Pending,6
COMP110067,CUST107026,2025-09-11,Billing Issue,Pending,12
COMP110068,CUST107026,2025-09-04,Data/Speed Issue,Resolved,10
COMP110069,CUST107026,2026-01-09,Service Quality,Pending,8
COMP110070,CUST107028,2025-10-24,Service Quality,Pending,6
COMP110071,CUST107028,2025-12-10,Billing Issue,Resolved,4
COMP110072,CUST107029,2025-11-15,Billing Issue,Resolved,6
COMP110073,CUST107031,2025-11-16,Data/Speed Issue,Resolved,6
COMP110074,CUST107033,2025-08-15,Data/Speed Issue,Resolved,6
COMP110075,CUST107033,2025-12-18,Service Quality,Resolved,6
COMP110076,CUST107033,2025-12-17,Billing Issue,Pending,5
COMP110077,CUST107038,2025-08-16,Data/Speed Issue,Resolved,5
COMP110078,CUST107040,2025-08-05,Billing Issue,Pending,9
COMP110079,CUST107041,2025-09-01,Data/Speed Issue,Resolved,10
COMP110080,CUST107041,2025-08-29,Network Issue,Resolved,10
COMP110081,CUST107041,2026-01-26,Service Quality,Resolved,14
COMP110082,CUST107041,2025-09-07,Network Issue,Pending,11
COMP110083,CUST107042,2025-08-26,Service Quality,Resolved,3
COMP110084,CUST107042,2025-11-04,Other,Resolved,3
COMP110085,CUST107042,2026-01-06,Service Quality,Pending,2
COMP110086,CUST107042,2025-09-20,Data/Speed Issue,Resolved,1
COMP110087,CUST107045,2025-09-26,Data/Speed Issue,Resolved,3
COMP110088,CUST107046,2025-08-28,Data/Speed Issue,Resolved,1
COMP110089,CUST107046,2025-11-20,Billing Issue,Resolved,5
COMP110090,CUST107046,2026-01-20,Billing Issue,Resolved,5
COMP110091,CUST107047,2025-11-12,Billing Issue,Resolved,4
COMP110092,CUST107047,2025-11-03,Data/Speed Issue,Resolved,3
COMP110093,CUST107047,2025-09-11,Data/Speed Issue,Pending,3
COMP110094,CUST107047,2025-09-10,Billing Issue,Resolved,5
COMP110095,CUST107049,2025-12-11,Data/Speed Issue,Resolved,14
COMP110096,CUST107049,2025-12-01,Network Issue,Resolved,13
COMP110097,CUST107049,2025-12-13,Network Issue,Resolved,6
COMP110098,CUST107050,2025-09-26,Service Quality,Pending,6
COMP110099,CUST107050,2025-10-02,Service Quality,Pending,11
COMP110100,CUST107050,2025-08-22,Billing Issue,Resolved,13
COMP110101,CUST107051,2025-10-11,Data/Speed Issue,Resolved,2
COMP110102,CUST107051,2025-08-10,Network Issue,Resolved,3
COMP110103,CUST107053,2025-11-29,Other,Resolved,5
COMP110104,CUST107053,2025-11-28,Network Issue,Resolved,5
COMP110105,CUST107053,2026-01-26,Other,Resolved,3
COMP110106,CUST107054,2025-09-25,Other,Pending,9
COMP110107,CUST107054,2025-10-10,Billing Issue,Pending,12
COMP110108,CUST107054,2025-10-30,Service Quality,Pending,6
COMP110109,CUST107054,2025-09-30,Billing Issue,Pending,5
COMP110110,CUST107056,2025-10-11,Service Quality,Resolved,1
COMP110111,CUST107057,2025-09-21,Data/Speed Issue,Resolved,6
COMP110112,CUST107059,2026-01-20,Other,Resolved,5
COMP110113,CUST107059,2025-10-10,Service Quality,Pending,3
COMP110114,CUST107059,2025-10-02,Network Issue,Resolved,6
COMP110115,CUST107059,2025-12-06,Service Quality,Resolved,6
COMP110116,CUST107062,2025-09-10,Network Issue,Resolved,3
COMP110117,CUST107062,2025-12-06,Billing Issue,Resolved,5
COMP110118,CUST107062,2025-09-29,Billing Issue,Resolved,5
COMP110119,CUST107063,2025-10-31,Network Issue,Resolved,10
COMP110120,CUST107065,2025-08-16,Network Issue,Resolved,5
COMP110121,CUST107066,2025-11-17,Other,Resolved,3
COMP110122,CUST107068,2025-09-25,Billing Issue,Pending,11
COMP110123,CUST107068,2025-11-24,Network Issue,Resolved,11
COMP110124,CUST107068,2025-11-23,Billing Issue,Resolved,14
COMP110125,CUST107068,2025-10-04,Billing Issue,Resolved,7
COMP110126,CUST107068,2025-12-06,Service Quality,Resolved,14
COMP110127,CUST107070,2025-08-19,Service Quality,Resolved,3
COMP110128,CUST107070,2025-11-20,Data/Speed Issue,Resolved,2
COMP110129,CUST107071,2025-11-18,Network Issue,Resolved,2
COMP110130,CUST107071,2025-08-17,Network Issue,Resolved,1
COMP110131,CUST107072,2025-11-30,Billing Issue,Resolved,9
COMP110132,CUST107072,2025-09-19,Data/Speed Issue,Resolved,10
COMP110133,CUST107072,2025-10-18,Service Quality,Resolved,6
COMP110134,CUST107073,2025-12-05,Service Quality,Resolved,1
COMP110135,CUST107075,2026-01-07,Network Issue,Resolved,3
COMP110136,CUST107076,2025-11-15,Billing Issue,Pending,13
COMP110137,CUST107076,2026-01-30,Service Quality,Resolved,13
COMP110138,CUST107076,2025-08-07,Data/Speed Issue,Resolved,11
COMP110139,CUST107076,2025-09-25,Other,Resolved,12
COMP110140,CUST107076,2025-10-19,Billing Issue,Pending,7
COMP110141,CUST107077,2026-01-14,Data/Speed Issue,Resolved,5
COMP110142,CUST107078,2025-11-05,Data/Speed Issue,Pending,9
COMP110143,CUST107079,2025-09-13,Billing Issue,Resolved,3
COMP110144,CUST107080,2025-10-27,Network Issue,Pending,6
COMP110145,CUST107083,2025-09-23,Billing Issue,Pending,4
COMP110146,CUST107083,2025-08-10,Billing Issue,Pending,6
COMP110147,CUST107084,2026-01-29,Billing Issue,Resolved,14
COMP110148,CUST107084,2025-09-23,Service Quality,Pending,14
COMP110149,CUST107084,2025-10-26,Service Quality,Resolved,8
COMP110150,CUST107086,2025-09-04,Data/Speed Issue,Pending,3
COMP110151,CUST107087,2025-10-03,Data/Speed Issue,Pending,1
COMP110152,CUST107087,2025-11-09,Billing Issue,Pending,4
COMP110153,CUST107088,2026-01-26,Data/Speed Issue,Resolved,4
COMP110154,CUST107089,2025-09-05,Data/Speed Issue,Pending,2
COMP110155,CUST107089,2025-11-10,Data/Speed Issue,Resolved,5
COMP110156,CUST107090,2025-09-13,Billing Issue,Resolved,1
COMP110157,CUST107090,2026-01-17,Data/Speed Issue,Resolved,5
COMP110158,CUST107090,2025-09-07,Service Quality,Resolved,4
COMP110159,CUST107090,2025-12-15,Network Issue,Resolved,6
COMP110160,CUST107092,2026-01-21,Other,Resolved,6
COMP110161,CUST107092,2025-10-17,Data/Speed Issue,Resolved,2
COMP110162,CUST107092,2025-09-08,Other,Resolved,6
COMP110163,CUST107092,2025-12-03,Network Issue,Resolved,5
COMP110164,CUST107095,2025-11-07,Network Issue,Pending,8
COMP110165,CUST107095,2025-12-25,Billing Issue,Resolved,9
COMP110166,CUST107095,2025-12-05,Network Issue,Resolved,13
COMP110167,CUST107096,2025-08-19,Service Quality,Resolved,8
COMP110168,CUST107096,2025-11-04,Billing Issue,Resolved,12
COMP110169,CUST107096,2025-11-22,Data/Speed Issue,Pending,6
COMP110170,CUST107097,2025-09-10,Network Issue,Resolved,4
COMP110171,CUST107098,2026-01-10,Billing Issue,Resolved,1
COMP110172,CUST107102,2025-11-27,Other,Pending,3
COMP110173,CUST107104,2025-12-06,Billing Issue,Pending,2
COMP110174,CUST107107,2025-10-31,Billing Issue,Resolved,11
COMP110175,CUST107108,2026-01-27,Network Issue,Resolved,6
COMP110176,CUST107110,2025-11-05,Network Issue,Resolved,6
COMP110177,CUST107111,2025-09-03,Network Issue,Resolved,14
COMP110178,CUST107111,2025-09-27,Data/Speed Issue,Resolved,5
COMP110179,CUST107111,2025-12-03,Data/Speed Issue,Pending,7
COMP110180,CUST107112,2025-12-29,Network Issue,Resolved,3
COMP110181,CUST107112,2026-01-26,Data/Speed Issue,Resolved,3
COMP110182,CUST107113,2025-10-07,Other,Resolved,4
COMP110183,CUST107113,2025-10-31,Billing Issue,Resolved,6
COMP110184,CUST107114,2025-08-30,Data/Speed Issue,Resolved,6
COMP110185,CUST107114,2025-08-16,Data/Speed Issue,Resolved,5
COMP110186,CUST107114,2025-11-25,Data/Speed Issue,Resolved,9
COMP110187,CUST107114,2025-09-01,Service Quality,Pending,11
COMP110188,CUST107114,2025-11-28,Network Issue,Pending,10
COMP110189,CUST107115,2025-11-30,Data/Speed Issue,Resolved,13
COMP110190,CUST107115,2025-09-14,Service Quality,Pending,9
COMP110191,CUST107121,2025-08-23,Other,Pending,5
COMP110192,CUST107121,2025-10-28,Network Issue,Resolved,5
COMP110193,CUST107122,2025-11-07,Service Quality,Resolved,2
COMP110194,CUST107122,2025-10-21,Data/Speed Issue,Resolved,6
COMP110195,CUST107123,2025-10-16,Billing Issue,Resolved,6
COMP110196,CUST107124,2025-08-17,Network Issue,Resolved,3
COMP110197,CUST107124,2025-10-02,Service Quality,Resolved,1
COMP110198,CUST107125,2025-10-12,Billing Issue,Pending,7
COMP110199,CUST107125,2026-01-06,Data/Speed Issue,Resolved,6
COMP110200,CUST107125,2025-08-12,Data/Speed Issue,Resolved,8
COMP110201,CUST107125,2025-08-27,Billing Issue,Resolved,11
COMP110202,CUST107126,2025-12-09,Network Issue,Resolved,4
COMP110203,CUST107129,2025-11-15,Network Issue,Resolved,5
COMP110204,CUST107132,2025-10-26,Network Issue,Resolved,1
COMP110205,CUST107133,2025-10-15,Network Issue,Pending,5
COMP110206,CUST107134,2025-09-05,Billing Issue,Resolved,4
COMP110207,CUST107134,2025-10-19,Billing Issue,Pending,3
COMP110208,CUST107135,2025-10-14,Network Issue,Pending,6
COMP110209,CUST107135,2025-11-12,Other,Pending,4
COMP110210,CUST107135,2025-09-08,Network Issue,Resolved,6
COMP110211,CUST107135,2025-08-13,Service Quality,Pending,2
COMP110212,CUST107136,2025-09-24,Service Quality,Resolved,3
COMP110213,CUST107138,2025-12-11,Data/Speed Issue,Resolved,5
COMP110214,CUST107139,2025-08-05,Service Quality,Resolved,11
COMP110215,CUST107139,2025-12-13,Network Issue,Pending,8
COMP110216,CUST107142,2025-10-08,Other,Pending,5
COMP110217,CUST107143,2025-12-05,Other,Resolved,9
COMP110218,CUST107143,2025-10-18,Network Issue,Resolved,5
COMP110219,CUST107143,2025-10-09,Billing Issue,Resolved,12
COMP110220,CUST107144,2025-11-25,Network Issue,Resolved,4
COMP110221,CUST107144,2025-10-23,Other,Resolved,13
COMP110222,CUST107144,2026-01-15,Service Quality,Resolved,14
COMP110223,CUST107144,2025-11-26,Billing Issue,Resolved,8
COMP110224,CUST107148,2025-08-26,Billing Issue,Pending,12
COMP110225,CUST107148,2025-10-25,Billing Issue,Pending,13
COMP110226,CUST107148,2025-09-03,Other,Pending,4
COMP110227,CUST107148,2025-10-21,Billing Issue,Resolved,4
COMP110228,CUST107151,2025-11-30,Data/Speed Issue,Resolved,9
COMP110229,CUST107151,2025-12-07,Network Issue,Pending,7
COMP110230,CUST107152,2026-01-15,Service Quality,Resolved,9
COMP110231,CUST107152,2025-08-16,Service Quality,Resolved,12
COMP110232,CUST107153,2025-12-05,Other,Resolved,5
COMP110233,CUST107154,2026-01-13,Data/Speed Issue,Resolved,5
COMP110234,CUST107156,2025-12-18,Network Issue,Resolved,4
COMP110235,CUST107158,2025-09-16,Data/Speed Issue,Resolved,6
COMP110236,CUST107158,2025-08-27,Other,Resolved,1
COMP110237,CUST107159,2025-10-21,Data/Speed Issue,Pending,12
COMP110238,CUST107159,2025-09-01,Billing Issue,Resolved,3
COMP110239,CUST107159,2025-09-15,Service Quality,Pending,4
COMP110240,CUST107161,2025-11-01,Data/Speed Issue,Pending,1
COMP110241,CUST107163,2025-12-18,Data/Speed Issue,Resolved,2
COMP110242,CUST107163,2025-12-16,Billing Issue,Resolved,5
COMP110243,CUST107163,2025-10-28,Billing Issue,Resolved,5
COMP110244,CUST107165,2025-12-16,Network Issue,Resolved,6
COMP110245,CUST107165,2025-10-22,Network Issue,Pending,6
COMP110246,CUST107166,2025-09-20,Network Issue,Pending,6
COMP110247,CUST107166,2025-11-18,Network Issue,Resolved,5
COMP110248,CUST107166,2026-01-24,Data/Speed Issue,Pending,4
COMP110249,CUST107167,2025-09-29,Service Quality,Resolved,4
COMP110250,CUST107167,2025-11-07,Network Issue,Resolved,4
COMP110251,CUST107170,2025-08-22,Billing Issue,Pending,8
COMP110252,CUST107170,2025-10-14,Data/Speed Issue,Resolved,10
COMP110253,CUST107170,2025-09-17,Other,Pending,7
COMP110254,CUST107171,2025-12-04,Other,Pending,11
COMP110255,CUST107171,2025-09-08,Service Quality,Resolved,14
COMP110256,CUST107171,2025-11-02,Service Quality,Pending,5
COMP110257,CUST107171,2025-10-11,Data/Speed Issue,Resolved,4
COMP110258,CUST107172,2025-12-27,Other,Resolved,3
COMP110259,CUST107175,2025-11-30,Billing Issue,Resolved,2
COMP110260,CUST107175,2026-01-02,Network Issue,Resolved,6
COMP110261,CUST107178,2025-12-28,Billing Issue,Pending,5
COMP110262,CUST107178,2025-11-08,Data/Speed Issue,Pending,8
COMP110263,CUST107178,2025-11-10,Network Issue,Resolved,8
COMP110264,CUST107179,2025-11-05,Other,Resolved,1
COMP110265,CUST107181,2025-08-04,Billing Issue,Resolved,6
COMP110266,CUST107182,2025-12-22,Data/Speed Issue,Pending,3
COMP110267,CUST107183,2025-11-03,Network Issue,Resolved,7
COMP110268,CUST107183,2025-12-30,Service Quality,Pending,3
COMP110269,CUST107183,2025-10-31,Service Quality,Pending,3
COMP110270,CUST107183,2025-08-17,Other,Pending,3
COMP110271,CUST107184,2025-11-10,Other,Pending,13
COMP110272,CUST107184,2025-09-02,Service Quality,Pending,13
COMP110273,CUST107184,2025-09-27,Billing Issue,Pending,14
COMP110274,CUST107184,2025-09-03,Data/Speed Issue,Resolved,12
COMP110275,CUST107185,2025-09-12,Billing Issue,Resolved,3
COMP110276,CUST107185,2025-09-19,Network Issue,Pending,4
COMP110277,CUST107186,2025-12-30,Billing Issue,Resolved,5
COMP110278,CUST107186,2026-01-02,Other,Resolved,1
COMP110279,CUST107187,2026-01-10,Data/Speed Issue,Resolved,4
COMP110280,CUST107187,2025-10-12,Data/Speed Issue,Resolved,6
COMP110281,CUST107187,2026-01-22,Network Issue,Pending,3
COMP110282,CUST107188,2025-10-14,Billing Issue,Resolved,3
COMP110283,CUST107188,2025-10-31,Data/Speed Issue,Resolved,4
COMP110284,CUST107189,2025-10-12,Data/Speed Issue,Resolved,2
COMP110285,CUST107189,2025-08-19,Service Quality,Resolved,4
COMP110286,CUST107191,2025-11-02,Service Quality,Resolved,3
COMP110287,CUST107191,2025-08-18,Network Issue,Pending,1
COMP110288,CUST107191,2025-10-31,Data/Speed Issue,Resolved,1
COMP110289,CUST107191,2025-08-11,Service Quality,Resolved,1
COMP110290,CUST107192,2025-12-30,Network Issue,Pending,8
COMP110291,CUST107192,2025-12-13,Data/Speed Issue,Resolved,14
COMP110292,CUST107192,2026-01-23,Service Quality,Pending,3
COMP110293,CUST107192,2025-11-29,Service Quality,Resolved,8
COMP110294,CUST107193,2025-08-25,Billing Issue,Resolved,11
COMP110295,CUST107193,2025-08-26,Other,Resolved,3
COMP110296,CUST107195,2025-12-08,Network Issue,Resolved,8
COMP110297,CUST107195,2025-09-07,Billing Issue,Resolved,13
COMP110298,CUST107196,2025-11-12,Service Quality,Resolved,5
COMP110299,CUST107196,2025-08-06,Other,Resolved,1
COMP110300,CUST107198,2025-08-11,Service Quality,Resolved,1
COMP110301,CUST107198,2025-08-05,Network Issue,Pending,2
COMP110302,CUST107198,2026-01-12,Network Issue,Resolved,1
COMP110303,CUST107198,2025-08-29,Data/Speed Issue,Resolved,1
COMP110304,CUST107199,2025-10-24,Data/Speed Issue,Pending,9
COMP110305,CUST107199,2026-01-26,Network Issue,Resolved,13
COMP110306,CUST107199,2026-01-13,Data/Speed Issue,Resolved,12
COMP110307,CUST107199,2025-12-23,Service Quality,Resolved,10
COMP110308,CUST107199,2025-09-07,Other,Resolved,4
COMP110309,CUST107200,2025-10-13,Data/Speed Issue,Resolved,2
COMP110310,CUST107200,2025-09-17,Network Issue,Resolved,4
COMP110311,CUST107201,2025-08-21,Service Quality,Resolved,1
COMP110312,CUST107201,2025-10-10,Network Issue,Resolved,6
COMP110313,CUST107201,2025-10-16,Data/Speed Issue,Resolved,5
COMP110314,CUST107202,2026-01-15,Network Issue,Resolved,5
COMP110315,CUST107202,2026-01-11,Service Quality,Resolved,2
COMP110316,CUST107202,2026-01-21,Network Issue,Resolved,6
COMP110317,CUST107202,2025-09-08,Billing Issue,Resolved,4
COMP110318,CUST107204,2025-08-21,Service Quality,Resolved,3
COMP110319,CUST107204,2025-08-27,Data/Speed Issue,Resolved,2
COMP110320,CUST107207,2025-12-08,Service Quality,Resolved,6
COMP110321,CUST107208,2025-10-24,Data/Speed Issue,Pending,11
COMP110322,CUST107208,2025-09-02,Network Issue,Resolved,12
COMP110323,CUST107208,2026-01-21,Service Quality,Resolved,13
COMP110324,CUST107208,2025-12-06,Service Quality,Resolved,12
COMP110325,CUST107210,2025-12-23,Service Quality,Resolved,6
COMP110326,CUST107211,2025-12-15,Other,Resolved,3
COMP110327,CUST107211,2025-12-30,Data/Speed Issue,Resolved,6
COMP110328,CUST107211,2025-08-24,Network Issue,Resolved,6
COMP110329,CUST107215,2025-12-24,Service Quality,Resolved,3
COMP110330,CUST107215,2025-12-18,Billing Issue,Resolved,4
COMP110331,CUST107215,2025-11-27,Other,Pending,5
COMP110332,CUST107216,2025-11-11,Billing Issue,Resolved,3
COMP110333,CUST107216,2025-09-22,Billing Issue,Resolved,4
COMP110334,CUST107216,2025-12-28,Network Issue,Resolved,2
COMP110335,CUST107217,2026-01-11,Network Issue,Pending,4
COMP110336,CUST107218,2025-10-06,Service Quality,Pending,4
COMP110337,CUST107218,2025-10-03,Data/Speed Issue,Resolved,5
COMP110338,CUST107219,2026-01-18,Billing Issue,Pending,4
COMP110339,CUST107221,2026-01-24,Service Quality,Resolved,3
COMP110340,CUST107221,2025-10-15,Data/Speed Issue,Resolved,6
COMP110341,CUST107221,2025-12-05,Billing Issue,Resolved,14
COMP110342,CUST107222,2025-08-29,Service Quality,Resolved,4
COMP110343,CUST107223,2025-12-14,Other,Resolved,5
COMP110344,CUST107224,2026-01-27,Network Issue,Resolved,2
COMP110345,CUST107226,2026-01-12,Service Quality,Resolved,3
COMP110346,CUST107226,2025-11-02,Billing Issue,Resolved,2
COMP110347,CUST107226,2025-11-05,Billing Issue,Resolved,5
COMP110348,CUST107227,2025-12-06,Billing Issue,Pending,1
COMP110349,CUST107229,2026-01-23,Billing Issue,Resolved,4
COMP110350,CUST107229,2025-08-11,Service Quality,Pending,10
COMP110351,CUST107229,2025-09-08,Billing Issue,Pending,11
COMP110352,CUST107229,2025-12-18,Service Quality,Resolved,12
COMP110353,CUST107230,2026-01-18,Other,Resolved,1
COMP110354,CUST107230,2025-08-29,Service Quality,Resolved,6
COMP110355,CUST107231,2025-08-13,Network Issue,Resolved,5
COMP110356,CUST107231,2025-09-15,Network Issue,Resolved,4
COMP110357,CUST107232,2025-09-11,Billing Issue,Pending,6
COMP110358,CUST107232,2026-01-10,Network Issue,Resolved,1
COMP110359,CUST107232,2025-09-08,Service Quality,Resolved,3
COMP110360,CUST107232,2025-12-30,Data/Speed Issue,Resolved,6
COMP110361,CUST107234,2025-12-20,Billing Issue,Resolved,2
COMP110362,CUST107235,2025-11-19,Data/Speed Issue,Resolved,2
COMP110363,CUST107236,2025-11-21,Data/Speed Issue,Pending,13
COMP110364,CUST107236,2026-01-04,Network Issue,Resolved,3
COMP110365,CUST107237,2025-10-26,Network Issue,Resolved,4
COMP110366,CUST107239,2025-09-01,Data/Speed Issue,Pending,6
COMP110367,CUST107239,2025-10-31,Data/Speed Issue,Resolved,4
COMP110368,CUST107239,2026-01-19,Network Issue,Resolved,3
COMP110369,CUST107239,2025-09-27,Network Issue,Resolved,7
COMP110370,CUST107241,2025-08-21,Other,Resolved,3
COMP110371,CUST107243,2025-08-10,Data/Speed Issue,Resolved,4
COMP110372,CUST107243,2025-12-14,Billing Issue,Resolved,3
COMP110373,CUST107245,2026-01-09,Network Issue,Resolved,9
COMP110374,CUST107245,2026-01-22,Service Quality,Pending,4
COMP110375,CUST107245,2025-10-11,Service Quality,Resolved,14
COMP110376,CUST107245,2025-10-21,Data/Speed Issue,Resolved,10
COMP110377,CUST107246,2025-09-30,Data/Speed Issue,Resolved,5
COMP110378,CUST107246,2026-01-12,Billing Issue,Resolved,5
COMP110379,CUST107247,2025-08-29,Service Quality,Resolved,6
COMP110380,CUST107247,2025-11-29,Billing Issue,Resolved,6
COMP110381,CUST107247,2025-10-25,Data/Speed Issue,Resolved,3
COMP110382,CUST107249,2025-12-28,Data/Speed Issue,Resolved,1
COMP110383,CUST107249,2025-09-27,Billing Issue,Resolved,5
COMP110384,CUST107249,2025-12-09,Service Quality,Resolved,4
COMP110385,CUST107250,2025-11-02,Network Issue,Resolved,5
COMP110386,CUST107253,2025-10-25,Network Issue,Resolved,5
COMP110387,CUST107253,2025-09-22,Data/Speed Issue,Resolved,5
COMP110388,CUST107253,2025-10-09,Data/Speed Issue,Resolved,5
COMP110389,CUST107253,2025-08-30,Billing Issue,Resolved,3
COMP110390,CUST107255,2026-01-30,Service Quality,Pending,9
COMP110391,CUST107255,2025-11-24,Billing Issue,Resolved,4
COMP110392,CUST107255,2026-01-19,Network Issue,Pending,3
COMP110393,CUST107255,2025-10-18,Billing Issue,Resolved,13
COMP110394,CUST107256,2025-09-06,Other,Pending,1
COMP110395,CUST107257,2025-09-16,Network Issue,Pending,5
COMP110396,CUST107257,2025-10-03,Service Quality,Resolved,2
COMP110397,CUST107257,2025-11-25,Billing Issue,Resolved,3
COMP110398,CUST107258,2025-11-02,Service Quality,Resolved,6
COMP110399,CUST107258,2025-09-11,Billing Issue,Resolved,6
COMP110400,CUST107259,2025-12-18,Network Issue,Resolved,13
COMP110401,CUST107259,2025-08-18,Other,Resolved,14
COMP110402,CUST107259,2026-01-15,Network Issue,Pending,13
COMP110403,CUST107260,2026-01-15,Data/Speed Issue,Resolved,1
COMP110404,CUST107263,2025-09-26,Billing Issue,Pending,9
COMP110405,CUST107263,2025-09-01,Service Quality,Resolved,5
COMP110406,CUST107263,2025-12-23,Network Issue,Resolved,3
COMP110407,CUST107263,2025-12-14,Billing Issue,Resolved,10
COMP110408,CUST107265,2026-01-04,Service Quality,Pending,2
COMP110409,CUST107265,2025-11-14,Service Quality,Resolved,3
COMP110410,CUST107266,2025-12-08,Network Issue,Pending,6
COMP110411,CUST107268,2025-08-16,Billing Issue,Resolved,6
COMP110412,CUST107268,2025-11-20,Network Issue,Resolved,3
COMP110413,CUST107268,2025-08-29,Data/Speed Issue,Resolved,4
COMP110414,CUST107271,2025-10-03,Service Quality,Resolved,6
COMP110415,CUST107272,2025-09-14,Billing Issue,Pending,1
COMP110416,CUST107272,2025-11-10,Other,Resolved,6
COMP110417,CUST107272,2025-08-12,Data/Speed Issue,Resolved,6
COMP110418,CUST107272,2026-01-12,Service Quality,Resolved,5
COMP110419,CUST107273,2025-08-22,Data/Speed Issue,Resolved,2
COMP110420,CUST107273,2025-10-02,Billing Issue,Resolved,1
COMP110421,CUST107273,2025-09-22,Data/Speed Issue,Pending,4
COMP110422,CUST107275,2026-01-08,Service Quality,Resolved,4
COMP110423,CUST107275,2025-09-24,Network Issue,Resolved,5
COMP110424,CUST107277,2025-10-17,Network Issue,Resolved,3
COMP110425,CUST107277,2025-12-07,Network Issue,Resolved,2
COMP110426,CUST107278,2025-09-05,Billing Issue,Resolved,2
COMP110427,CUST107279,2026-01-17,Network Issue,Pending,5
COMP110428,CUST107280,2025-09-09,Service Quality,Pending,3
COMP110429,CUST107281,2025-10-22,Other,Resolved,4
COMP110430,CUST107285,2026-01-02,Service Quality,Resolved,14
COMP110431,CUST107285,2025-09-16,Network Issue,Resolved,5
COMP110432,CUST107286,2025-12-24,Network Issue,Resolved,4
