customer_id,city,age,gender,plan_type,contract_type,tenure_months,monthly_charges
CUST107075,Delhi,49,Female,Prepaid,No Contract,33,493.27
CUST107076,Mumbai,65,Male,Postpaid,Month-to-Month,10,757.08
CUST107077,Bangalore,50,Female,Broadband,Month-to-Month,15,1759.93
CUST107078,Mumbai,36,Male,Prepaid,No Contract,9,295.74
CUST107079,Bangalore,37,Male,Broadband,1-Year,39,1509.35
CUST107080,Gurgaon,65,Male,Postpaid,1-Year,11,821.71
CUST107081,Noida,27,Male,Prepaid,No Contract,9,205.24
CUST107082,Mumbai,43,Male,Broadband,Month-to-Month,5,2312.48
CUST107083,Mumbai,63,Female,Prepaid,No Contract,7,443.06
CUST107084,Bangalore,35,Male,Broadband,1-Year,9,1793.59
CUST107085,Delhi,62,Female,Broadband,Month-to-Month,6,1730.7
CUST107086,Bangalore,62,Male,Postpaid,1-Year,45,559.51
CUST107087,Bangalore,32,Male,Postpaid,2-Year,44,1004.92
CUST107088,Gurgaon,53,Male,Postpaid,1-Year,35,807.91
CUST107089,Delhi,35,Male,Postpaid,Month-to-Month,19,503.28
CUST107090,Delhi,48,Female,Postpaid,2-Year,57,871.4
CUST107091,Pune,32,Female,Prepaid,No Contract,18,334.75
CUST107092,Bangalore,55,Female,Broadband,2-Year,35,1519.59
CUST107093,Delhi,46,Male,Broadband,Month-to-Month,2,1151.76
CUST107094,Gurgaon,59,Male,Postpaid,1-Year,48,990.87
CUST107095,Mumbai,32,Male,Prepaid,No Contract,24,429.24
CUST107096,Noida,18,Female,Postpaid,1-Year,10,1294.94
CUST107097,Delhi,54,Male,Prepaid,No Contract,33,350.34
CUST107098,Gurgaon,58,Male,Prepaid,No Contract,32,204.92
CUST107099,Noida,40,Female,Postpaid,Month-to-Month,2,1469.04
CUST107100,Delhi,63,Male,Broadband,Month-to-Month,11,994.65
CUST107101,Gurgaon,28,Male,Prepaid,No Contract,28,237.32
CUST107102,Pune,55,Male,Prepaid,No Contract,8,447.52
CUST107103,Bangalore,33,Male,Postpaid,Month-to-Month,2,1106.9
CUST107104,Gurgaon,47,Male,Prepaid,No Contract,3,325.34
CUST107105,Delhi,46,Female,Broadband,Month-to-Month,20,2216.54
CUST107106,Delhi,58,Female,Postpaid,2-Year,52,1003.0
CUST107107,Gurgaon,20,Male,Prepaid,No Contract,5,349.38
CUST107108,Noida,57,Female,Broadband,1-Year,23,2197.62
CUST107109,Mumbai,34,Male,Postpaid,Month-to-Month,13,955.33
CUST107110,Bangalore,43,Other,Prepaid,No Contract,28,244.95
CUST107111,Pune,26,Male,Prepaid,No Contract,4,341.93
CUST107112,Mumbai,34,Female,Prepaid,No Contract,4,269.54
CUST107113,Delhi,54,Male,Broadband,Month-to-Month,23,852.48
CUST107114,Mumbai,48,Male,Postpaid,Month-to-Month,12,1154.47
CUST107115,Pune,48,Female,Prepaid,No Contract,10,270.83
CUST107116,Noida,28,Male,Prepaid,No Contract,4,329.97
CUST107117,Delhi,55,Female,Postpaid,1-Year,33,1080.99
CUST107118,Bangalore,39,Male,Prepaid,No Contract,32,313.72
CUST107119,Mumbai,63,Male,Broadband,1-Year,8,1528.93
CUST107120,Pune,20,Male,Prepaid,No Contract,10,219.77
CUST107121,Delhi,45,Female,Broadband,Month-to-Month,3,2226.27
CUST107122,Mumbai,49,Female,Prepaid,No Contract,29,461.08
CUST107123,Noida,21,Male,Prepaid,No Contract,19,393.3
CUST107124,Mumbai,57,Male,Prepaid,No Contract,15,245.28
CUST107125,Mumbai,55,Female,Postpaid,Month-to-Month,7,911.32
CUST107126,Delhi,28,Female,Broadband,2-Year,66,1832.7
CUST107127,Gurgaon,18,Female,Prepaid,No Contract,4,441.47
CUST107128,Gurgaon,64,Female,Postpaid,Month-to-Month,1,574.34
CUST107129,Pune,33,Female,Prepaid,No Contract,33,387.46
CUST107130,Gurgaon,51,Male,Broadband,1-Year,26,941.81
CUST107131,Mumbai,62,Female,Broadband,1-Year,24,1832.83
CUST107132,Bangalore,49,Female,Prepaid,No Contract,14,201.06
CUST107133,Delhi,61,Female,Prepaid,No Contract,20,467.43
CUST107134,Mumbai,63,Female,Prepaid,No Contract,24,273.68
CUST107135,Bangalore,50,Male,Postpaid,Month-to-Month,18,965.69
CUST107136,Noida,28,Female,Prepaid,No Contract,15,348.8
CUST107137,Bangalore,53,Female,Prepaid,No Contract,3,449.68
CUST107138,Bangalore,30,Female,Prepaid,No Contract,3,407.29
CUST107139,Delhi,37,Male,Postpaid,Month-to-Month,16,1070.06
CUST107140,Pune,42,Male,Broadband,Month-to-Month,19,2271.78
CUST107141,Delhi,23,Male,Broadband,2-Year,42,1211.19
CUST107142,Noida,54,Female,Broadband,1-Year,39,1809.96
CUST107143,Gurgaon,43,Male,Prepaid,No Contract,10,390.93
CUST107144,Pune,21,Male,Prepaid,No Contract,10,396.81
CUST107145,Bangalore,62,Female,Broadband,2-Year,65,2276.18
CUST107146,Noida,43,Male,Broadband,1-Year,6,1748.32
CUST107147,Gurgaon,35,Female,Prepaid,No Contract,26,346.57
CUST107148,Mumbai,30,Male,Postpaid,1-Year,26,955.4
CUST107149,Bangalore,25,Male,Prepaid,No Contract,36,283.74
CUST107150,Noida,64,Male,Prepaid,No Contract,23,442.17
CUST107151,Delhi,50,Male,Postpaid,Month-to-Month,2,1009.13
CUST107152,Pune,60,Male,Postpaid,1-Year,42,563.68
CUST107153,Noida,33,Female,Postpaid,2-Year,30,1081.81
CUST107154,Gurgaon,59,Female,Broadband,1-Year,19,835.23
CUST107155,Noida,56,Female,Broadband,2-Year,43,1002.04
CUST107156,Mumbai,48,Female,Prepaid,No Contract,18,395.41
CUST107157,Mumbai,57,Female,Postpaid,2-Year,53,902.34
CUST107158,Gurgaon,40,Female,Prepaid,No Contract,2,264.76
CUST107159,Mumbai,33,Female,Broadband,Month-to-Month,8,925.57
CUST107160,Bangalore,27,Male,Prepaid,No Contract,15,362.12
CUST107161,Mumbai,53,Male,Postpaid,Month-to-Month,9,1124.75
CUST107162,Bangalore,48,Male,Broadband,2-Year,44,2130.3
CUST107163,Bangalore,61,Female,Broadband,2-Year,18,1327.92
CUST107164,Bangalore,49,Male,Broadband,1-Year,28,1130.85
CUST107165,Delhi,38,Male,Postpaid,Month-to-Month,1,1225.64
CUST107166,Noida,33,Female,Postpaid,1-Year,31,1216.19
CUST107167,Mumbai,46,Female,Postpaid,2-Year,21,1282.87
CUST107168,Gurgaon,65,Male,Broadband,Month-to-Month,18,1477.61
CUST107169,Gurgaon,62,Male,Postpaid,1-Year,35,1126.47
CUST107170,Mumbai,33,Female,Postpaid,Month-to-Month,9,650.29
CUST107171,Noida,32,Female,Broadband,Month-to-Month,22,1177.47
CUST107172,Gurgaon,25,Female,Prepaid,No Contract,23,278.49
CUST107173,Bangalore,32,Female,Broadband,1-Year,31,2394.98
CUST107174,Delhi,38,Male,Broadband,1-Year,18,1816.49
CUST107175,Mumbai,38,Female,Prepaid,No Contract,25,322.82
CUST107176,Pune,24,Male,Prepaid,No Contract,20,409.86
CUST107177,Noida,36,Male,Broadband,1-Year,19,948.04
CUST107178,Gurgaon,39,Female,Prepaid,No Contract,7,390.51
CUST107179,Mumbai,63,Male,Postpaid,Month-to-Month,1,838.7
CUST107180,Gurgaon,55,Male,Broadband,Month-to-Month,4,1855.5
CUST107181,Mumbai,30,Female,Postpaid,1-Year,31,599.63
CUST107182,Noida,43,Female,Postpaid,1-Year,35,503.71
CUST107183,Noida,61,Male,Broadband,Month-to-Month,3,2201.64
CUST107184,Gurgaon,39,Female,Prepaid,No Contract,31,400.12
CUST107185,Pune,24,Female,Prepaid,No Contract,18,234.87
CUST107186,Mumbai,52,Male,Broadband,Month-to-Month,20,961.96
CUST107187,Gurgaon,20,Male,Prepaid,No Contract,30,416.17
CUST107188,Mumbai,52,Female,Postpaid,Month-to-Month,24,1075.34
CUST107189,Bangalore,64,Female,Postpaid,2-Year,38,761.0
CUST107190,Mumbai,33,Male,Broadband,Month-to-Month,23,2050.43
CUST107191,Mumbai,62,Female,Prepaid,No Contract,21,317.63
CUST107192,Mumbai,33,Female,Postpaid,Month-to-Month,11,1126.39
CUST107193,Delhi,19,Female,Prepaid,No Contract,36,312.17
CUST107194,Noida,55,Female,Broadband,Month-to-Month,21,2195.98
CUST107195,Mumbai,34,Male,Postpaid,Month-to-Month,1,1492.15
CUST107196,Delhi,55,Male,Broadband,1-Year,6,1856.47
CUST107197,Noida,41,Male,Prepaid,No Contract,1,393.19
CUST107198,Pune,39,Female,Postpaid,1-Year,20,784.63
CUST107199,Pune,40,Female,Prepaid,No Contract,32,376.3
CUST107200,Gurgaon,61,Female,Postpaid,Month-to-Month,11,635.19
CUST107201,Delhi,36,Female,Postpaid,1-Year,47,1289.33
CUST107202,Mumbai,61,Female,Postpaid,Month-to-Month,6,1316.61
CUST107203,Delhi,39,Male,Postpaid,2-Year,28,1425.79
CUST107204,Pune,34,Male,Broadband,1-Year,25,1179.15
CUST107205,Delhi,19,Male,Broadband,1-Year,14,1189.09
CUST107206,Gurgaon,31,Male,Prepaid,No Contract,32,468.86
CUST107207,Mumbai,45,Male,Prepaid,No Contract,26,386.88
CUST107208,Gurgaon,30,Male,Postpaid,Month-to-Month,24,556.56
CUST107209,Noida,55,Female,Postpaid,Month-to-Month,13,882.35
CUST107210,Mumbai,34,Male,Prepaid,No Contract,2,237.05
CUST107211,Delhi,26,Male,Prepaid,No Contract,29,280.79
CUST107212,Gurgaon,57,Male,Postpaid,Month-to-Month,13,553.13
CUST107213,Mumbai,31,Male,Broadband,Month-to-Month,1,1462.48
CUST107214,Delhi,19,Male,Prepaid,No Contract,26,313.01
CUST107215,Bangalore,59,Female,Prepaid,No Contract,5,318.35
CUST107216,Mumbai,38,Male,Prepaid,No Contract,5,473.6
CUST107217,Bangalore,52,Male,Prepaid,No Contract,11,413.2
CUST107218,Pune,47,Female,Postpaid,2-Year,22,1388.28
CUST107219,Pune,34,Female,Postpaid,Month-to-Month,14,870.64
CUST107220,Pune,56,Male,Broadband,Month-to-Month,18,2148.75
CUST107221,Gurgaon,42,Female,Prepaid,No Contract,5,285.2
CUST107222,Delhi,61,Female,Broadband,Month-to-Month,20,1477.75
CUST107223,Gurgaon,56,Male,Prepaid,No Contract,7,421.93
CUST107224,Noida,52,Female,Prepaid,No Contract,24,485.16
CUST107225,Pune,23,Female,Prepaid,No Contract,29,253.22
CUST107226,Noida,20,Male,Postpaid,2-Year,29,1178.07
CUST107227,Delhi,53,Male,Postpaid,Month-to-Month,20,1290.66
CUST107228,Pune,65,Female,Postpaid,2-Year,39,1050.85
CUST107229,Mumbai,64,Other,Prepaid,No Contract,10,248.41
CUST107230,Delhi,18,Female,Postpaid,1-Year,40,807.22
CUST107231,Mumbai,51,Male,Postpaid,Month-to-Month,22,590.27
CUST107232,Delhi,18,Female,Prepaid,No Contract,35,467.88
CUST107233,Mumbai,43,Female,Prepaid,No Contract,5,297.45
CUST107234,Gurgaon,35,Female,Broadband,1-Year,22,2107.77
CUST107235,Mumbai,53,Male,Postpaid,2-Year,61,632.58
CUST107236,Bangalore,23,Female,Postpaid,1-Year,39,846.6
CUST107237,Noida,28,Male,Prepaid,No Contract,6,497.26
CUST107238,Bangalore,61,Male,Postpaid,Month-to-Month,6,1426.65
CUST107239,Mumbai,57,Male,Broadband,Month-to-Month,5,972.6
CUST107240,Noida,47,Male,Broadband,Month-to-Month,9,1722.27
CUST107241,Pune,31,Male,Postpaid,1-Year,6,829.95
CUST107242,Delhi,27,Female,Prepaid,No Contract,21,385.61
CUST107243,Mumbai,48,Female,Postpaid,Month-to-Month,21,1353.15
CUST107244,Gurgaon,53,Male,Broadband,1-Year,11,1468.44
CUST107245,Delhi,32,Female,Prepaid,No Contract,8,442.08
CUST107246,Bangalore,47,Male,Prepaid,No Contract,25,415.87
CUST107247,Noida,65,Female,Prepaid,No Contract,13,268.62
CUST107248,Delhi,31,Male,Broadband,1-Year,15,1298.99
CUST107249,Noida,64,Female,Broadband,2-Year,56,2329.49
CUST107250,Noida,40,Male,Prepaid,No Contract,27,470.36
CUST107251,Pune,34,Female,Prepaid,No Contract,18,492.92
CUST107252,Gurgaon,44,Male,Prepaid,No Contract,24,456.64
CUST107253,Pune,61,Female,Prepaid,No Contract,18,496.46
CUST107254,Gurgaon,30,Female,Prepaid,No Contract,36,396.97
CUST107255,Mumbai,31,Male,Prepaid,No Contract,2,314.09
CUST107256,Delhi,43,Male,Postpaid,Month-to-Month,20,779.14
CUST107257,Delhi,60,Female,Postpaid,1-Year,21,667.3
CUST107258,Bangalore,28,Female,Postpaid,1-Year,6,880.31
CUST107259,Mumbai,55,Male,Postpaid,Month-to-Month,13,1079.48
CUST107260,Gurgaon,18,Male,Prepaid,No Contract,15,262.31
CUST107261,Delhi,41,Male,Broadband,Month-to-Month,16,1464.21
CUST107262,Bangalore,37,Female,Postpaid,Month-to-Month,22,1448.86
CUST107263,Delhi,25,Other,Postpaid,2-Year,60,1037.05
CUST107264,Noida,25,Female,Prepaid,No Contract,29,497.36
CUST107265,Delhi,47,Male,Postpaid,2-Year,70,1279.02
CUST107266,Delhi,35,Female,Prepaid,No Contract,15,233.14
CUST107267,Gurgaon,30,Male,Broadband,1-Year,31,1801.36
CUST107268,Mumbai,63,Female,Broadband,1-Year,17,844.52
CUST107269,Gurgaon,64,Male,Prepaid,No Contract,31,402.8
CUST107270,Gurgaon,53,Female,Postpaid,2-Year,64,791.94
CUST107271,Pune,36,Male,Prepaid,No Contract,12,241.73
CUST107272,Bangalore,30,Male,Postpaid,2-Year,31,1224.47
CUST107273,Delhi,58,Male,Broadband,1-Year,7,1670.39
CUST107274,Mumbai,65,Male,Broadband,2-Year,61,2207.81
CUST107275,Noida,43,Male,Prepaid,No Contract,18,296.52
CUST107276,Gurgaon,26,Female,Prepaid,No Contract,6,467.6
CUST107277,Delhi,51,Female,Broadband,2-Year,20,2303.05
CUST107278,Noida,48,Male,Broadband,1-Year,8,1255.9
CUST107279,Bangalore,59,Male,Postpaid,2-Year,72,923.85
CUST107280,Mumbai,24,Male,Prepaid,No Contract,32,366.15
CUST107281,Delhi,26,Female,Prepaid,No Contract,18,435.71
CUST107282,Delhi,57,Male,Postpaid,Month-to-Month,5,1135.29
CUST107283,Bangalore,43,Male,Prepaid,No Contract,6,457.47
CUST107284,Gurgaon,50,Male,Broadband,2-Year,12,1942.14
CUST107285,Mumbai,50,Female,Postpaid,Month-to-Month,14,1280.58
CUST107286,Mumbai,57,Female,Postpaid,2-Year,71,1432.57
CUST107287,Gurgaon,21,Male,Postpaid,Month-to-Month,11,1294.67
CUST107288,Pune,45,Female,Prepaid,No Contract,28,274.52
CUST107289,Noida,21,Female,Postpaid,2-Year,30,1316.96
CUST107290,Bangalore,64,Female,Prepaid,No Contract,19,473.37
CUST107291,Delhi,51,Female,Postpaid,Month-to-Month,20,1195.92
CUST107292,Delhi,57,Female,Postpaid,Month-to-Month,17,804.17
CUST107293,Mumbai,65,Male,Broadband,Month-to-Month,23,2499.63
CUST107294,Delhi,23,Female,Broadband,1-Year,8,1000.51
CUST107295,Pune,50,Female,Prepaid,No Contract,2,421.65
CUST107296,Delhi,22,Female,Postpaid,Month-to-Month,1,1234.54
CUST107297,Mumbai,36,Male,Prepaid,No Contract,10,203.46
CUST107298,Gurgaon,35,Female,Postpaid,2-Year,35,1423.83
CUST107299,Bangalore,20,Male,Prepaid,No Contract,5,380.96
CUST107300,Delhi,51,Male,Postpaid,1-Year,36,956.87
CUST107301,Mumbai,19,Female,Prepaid,No Contract,15,471.99
CUST107302,Gurgaon,18,Female,Prepaid,No Contract,10,480.75
CUST107303,Noida,52,Female,Broadband,1-Year,27,1606.5
CUST107304,Delhi,21,Male,Prepaid,No Contract,10,305.0
CUST107305,Pune,52,Male,Broadband,Month-to-Month,13,953.89
CUST107306,Noida,25,Male,Prepaid,No Contract,18,436.17
CUST107307,Gurgaon,61,Male,Postpaid,Month-to-Month,23,1465.42
CUST107308,Noida,46,Male,Prepaid,No Contract,15,348.53
CUST107309,Delhi,53,Male,Broadband,Month-to-Month,14,1115.34
CUST107310,Pune,31,Male,Postpaid,Month-to-Month,19,1478.93
CUST107311,Mumbai,59,Male,Broadband,Month-to-Month,5,1152.58
CUST107312,Gurgaon,47,Male,Postpaid,Month-to-Month,4,760.25
CUST107313,Gurgaon,24,Male,Prepaid,No Contract,27,375.92
CUST107314,Delhi,30,Male,Postpaid,2-Year,61,779.3
CUST107315,Pune,39,Female,Postpaid,Month-to-Month,1,705.61
CUST107316,Delhi,62,Female,Postpaid,Month-to-Month,23,1181.87
CUST107317,Bangalore,19,Male,Prepaid,No Contract,27,474.48
CUST107318,Mumbai,25,Other,Prepaid,No Contract,13,416.61
CUST107319,Pune,38,Male,Broadband,Month-to-Month,3,1762.62
CUST107320,Gurgaon,37,Male,Postpaid,1-Year,23,815.56
CUST107321,Mumbai,28,Female,Postpaid,Month-to-Month,13,1075.15
CUST107322,Mumbai,51,Female,Postpaid,1-Year,41,550.55
CUST107323,Bangalore,61,Male,Postpaid,1-Year,48,555.6
CUST107324,Delhi,22,Female,Prepaid,No Contract,23,269.2
CUST107325,Delhi,65,Female,Postpaid,1-Year,27,791.57
CUST107326,Gurgaon,47,Female,Broadband,Month-to-Month,13,1130.76
CUST107327,Bangalore,50,Female,Postpaid,1-Year,16,640.27
CUST107328,Delhi,29,Female,Postpaid,Month-to-Month,20,1480.15
CUST107329,Mumbai,22,Male,Prepaid,No Contract,23,384.07
CUST107330,Gurgaon,18,Female,Prepaid,No Contract,10,289.29
CUST107331,Noida,52,Female,Broadband,1-Year,6,2150.72
CUST107332,Pune,42,Male,Postpaid,Month-to-Month,9,722.39
CUST107333,Mumbai,21,Female,Prepaid,No Contract,18,392.43
CUST107334,Gurgaon,26,Male,Prepaid,No Contract,27,258.15
CUST107335,Gurgaon,61,Other,Postpaid,Month-to-Month,21,1125.05
CUST107336,Delhi,20,Male,Prepaid,No Contract,17,327.28
CUST107337,Gurgaon,47,Female,Postpaid,1-Year,10,798.27
CUST107338,Bangalore,37,Female,Postpaid,1-Year,28,1321.32
CUST107339,Mumbai,27,Male,Prepaid,No Contract,11,330.73
CUST107340,Pune,37,Female,Prepaid,No Contract,16,361.96
CUST107341,Gurgaon,57,Male,Broadband,2-Year,20,2273.67
CUST107342,Bangalore,20,Male,Prepaid,No Contract,14,213.09
CUST107343,Mumbai,28,Male,Postpaid,2-Year,48,649.65
CUST107344,Mumbai,32,Female,Prepaid,No Contract,35,296.56
CUST107345,Gurgaon,45,Male,Broadband,2-Year,19,1089.64
CUST107346,Mumbai,61,Female,Broadband,Month-to-Month,10,1478.39
CUST107347,Mumbai,52,Male,Broadband,1-Year,13,2109.88
CUST107348,Bangalore,24,Male,Prepaid,No Contract,13,407.29
CUST107349,Pune,50,Male,Prepaid,No Contract,33,379.35
CUST107350,Gurgaon,59,Female,Prepaid,No Contract,30,386.98
CUST107351,Delhi,55,Male,Postpaid,1-Year,20,606.86
CUST107352,Mumbai,36,Female,Postpaid,2-Year,27,1266.35
CUST107353,Mumbai,61,Female,Prepaid,No Contract,20,427.48
CUST107354,Delhi,46,Male,Postpaid,Month-to-Month,4,1282.55
CUST107355,Noida,19,Male,Prepaid,No Contract,3,452.38
CUST107356,Pune,61,Male,Prepaid,No Contract,16,347.59
CUST107357,Pune,36,Other,Postpaid,Month-to-Month,24,1392.74
CUST107358,Delhi,26,Male,Prepaid,No Contract,12,473.94
CUST107359,Noida,23,Female,Postpaid,2-Year,52,904.72
CUST107360,Bangalore,34,Female,Postpaid,2-Year,63,1041.36
CUST107361,Mumbai,19,Male,Broadband,Month-to-Month,16,1973.62
CUST107362,Mumbai,56,Male,Postpaid,Month-to-Month,7,1224.36
CUST107363,Noida,23,Female,Prepaid,No Contract,34,292.91
CUST107364,Mumbai,31,Female,Prepaid,No Contract,25,260.97
CUST107365,Gurgaon,43,Female,Prepaid,No Contract,28,408.44
CUST107366,Mumbai,35,Female,Prepaid,No Contract,34,403.49
CUST107367,Mumbai,23,Male,Prepaid,No Contract,29,215.45
CUST107368,Delhi,29,Male,Postpaid,2-Year,13,1318.86
CUST107369,Pune,55,Male,Postpaid,1-Year,10,1264.17
CUST107370,Bangalore,39,Female,Postpaid,2-Year,34,704.38
CUST107371,Bangalore,31,Female,Broadband,1-Year,10,1570.58
CUST107372,Delhi,30,Female,Prepaid,No Contract,24,325.21
CUST107373,Bangalore,26,Other,Prepaid,No Contract,31,451.54
CUST107374,Delhi,59,Male,Postpaid,2-Year,37,777.6
CUST107375,Delhi,49,Female,Postpaid,1-Year,22,919.73
CUST107376,Mumbai,27,Male,Prepaid,No Contract,30,277.83
CUST107377,Mumbai,44,Female,Prepaid,No Contract,25,262.58
CUST107378,Mumbai,31,Female,Postpaid,Month-to-Month,21,607.72
CUST107379,Delhi,26,Female,Prepaid,No Contract,12,200.57
CUST107380,Mumbai,26,Male,Postpaid,Month-to-Month,17,951.93
CUST107381,Delhi,43,Other,Postpaid,Month-to-Month,15,951.74
CUST107382,Pune,49,Male,Prepaid,No Contract,26,444.26
CUST107383,Mumbai,58,Female,Prepaid,No Contract,26,463.92
CUST107384,Bangalore,52,Female,Broadband,Month-to-Month,22,1067.98
CUST107385,Gurgaon,43,Female,Prepaid,No Contract,34,226.49
CUST107386,Delhi,58,Male,Postpaid,1-Year,36,941.75
CUST107387,Pune,62,Female,Broadband,1-Year,18,1498.04
CUST107388,Gurgaon,59,Male,Prepaid,No Contract,21,332.9
CUST107389,Mumbai,20,Male,Postpaid,1-Year,20,1292.9
CUST107390,Bangalore,47,Female,Prepaid,No Contract,10,365.54
CUST107391,Delhi,46,Male,Prepaid,No Contract,32,214.12
CUST107392,Noida,37,Female,Prepaid,No Contract,29,315.99
CUST107393,Mumbai,21,Male,Postpaid,2-Year,58,904.0
CUST107394,Gurgaon,31,Male,Postpaid,2-Year,33,920.87
CUST107395,Delhi,62,Female,Broadband,1-Year,20,1917.13
CUST107396,Delhi,56,Other,Prepaid,No Contract,19,492.86
CUST107397,Noida,38,Male,Broadband,Month-to-Month,3,1388.19
CUST107398,Bangalore,24,Female,Prepaid,No Contract,19,276.9
CUST107399,Gurgaon,23,Male,Prepaid,No Contract,31,493.19
CUST107400,Delhi,57,Female,Postpaid,2-Year,45,902.73
CUST107401,Bangalore,23,Female,Prepaid,No Contract,35,386.08
CUST107402,Mumbai,42,Female,Broadband,Month-to-Month,14,1060.8
CUST107403,Mumbai,21,Female,Prepaid,No Contract,5,487.39
CUST107404,Gurgaon,54,Male,Broadband,Month-to-Month,23,1201.22
CUST107405,Gurgaon,42,Female,Postpaid,1-Year,10,1373.08
CUST107406,Bangalore,35,Male,Prepaid,No Contract,33,273.21
CUST107407,Pune,51,Female,Postpaid,1-Year,18,1062.42
CUST107408,Delhi,42,Male,Broadband,2-Year,70,1945.3
CUST107409,Mumbai,39,Female,Postpaid,Month-to-Month,2,960.9
CUST107410,Mumbai,63,Male,Prepaid,No Contract,12,283.7
CUST107411,Mumbai,31,Female,Postpaid,Month-to-Month,13,657.29
CUST107412,Gurgaon,54,Male,Broadband,1-Year,25,1464.24
CUST107413,Noida,28,Female,Postpaid,1-Year,23,872.73
CUST107414,Mumbai,44,Female,Prepaid,No Contract,31,407.83
CUST107415,Mumbai,43,Male,Postpaid,Month-to-Month,13,1127.38
CUST107416,Gurgaon,52,Female,Broadband,1-Year,43,901.37
CUST107417,Delhi,33,Female,Prepaid,No Contract,10,272.6
CUST107418,Delhi,57,Male,Postpaid,Month-to-Month,1,634.88
CUST107419,Bangalore,37,Female,Postpaid,Month-to-Month,5,778.6
CUST107420,Delhi,32,Male,Postpaid,1-Year,32,710.24
CUST107421,Bangalore,31,Male,Prepaid,No Contract,14,412.09
CUST107422,Gurgaon,63,Male,Prepaid,No Contract,20,419.25
CUST107423,Mumbai,25,Male,Prepaid,No Contract,35,349.29
CUST107424,Mumbai,41,Other,Postpaid,1-Year,26,596.23
CUST107425,Gurgaon,50,Male,Broadband,Month-to-Month,2,1679.13
CUST107426,Delhi,33,Male,Broadband,2-Year,52,2146.01
CUST107427,Gurgaon,44,Female,Broadband,1-Year,18,1683.63
CUST107428,Bangalore,45,Male,Postpaid,1-Year,9,624.42
CUST107429,Bangalore,61,Male,Broadband,2-Year,32,1928.35
CUST107430,Gurgaon,31,Female,Prepaid,No Contract,24,238.3
CUST107431,Mumbai,26,Male,Prepaid,No Contract,33,418.14
CUST107432,Delhi,63,Female,Prepaid,No Contract,23,356.32
CUST107433,Gurgaon,30,Male,Prepaid,No Contract,12,253.39
CUST107434,Delhi,39,Male,Postpaid,Month-to-Month,14,646.47
CUST107435,Noida,47,Female,Prepaid,No Contract,15,335.88
CUST107436,Gurgaon,49,Male,Postpaid,Month-to-Month,23,1159.15
CUST107437,Gurgaon,33,Female,Prepaid,No Contract,10,270.64
CUST107438,Gurgaon,42,Female,Prepaid,No Contract,36,420.07
CUST107439,Delhi,40,Female,Prepaid,No Contract,29,264.92
CUST107440,Bangalore,54,Female,Postpaid,1-Year,18,956.18
CUST107441,Delhi,45,Male,Postpaid,Month-to-Month,21,1003.03
CUST107442,Delhi,20,Female,Postpaid,Month-to-Month,17,1399.83
CUST107443,Bangalore,40,Male,Prepaid,No Contract,31,209.07
CUST107444,Gurgaon,50,Female,Postpaid,1-Year,44,1260.55
CUST107445,Bangalore,56,Female,Prepaid,No Contract,16,414.73
CUST107446,Mumbai,42,Male,Broadband,1-Year,16,1598.6
CUST107447,Gurgaon,42,Male,Postpaid,Month-to-Month,22,1232.66
CUST107448,Bangalore,56,Male,Broadband,Month-to-Month,11,1250.73
CUST107449,Delhi,38,Male,Postpaid,Month-to-Month,14,901.59
CUST107450,Mumbai,48,Female,Postpaid,1-Year,34,1283.11
CUST107451,Mumbai,47,Male,Prepaid,No Contract,18,223.98
CUST107452,Gurgaon,56,Male,Postpaid,Month-to-Month,14,1148.98
CUST107453,Bangalore,62,Female,Broadband,1-Year,37,1442.17
CUST107454,Noida,62,Male,Broadband,1-Year,18,1668.51
CUST107455,Pune,59,Male,Postpaid,2-Year,68,1059.82
CUST107456,Bangalore,51,Male,Postpaid,Month-to-Month,24,901.77
CUST107457,Mumbai,55,Male,Broadband,Month-to-Month,10,800.28
CUST107458,Gurgaon,24,Female,Prepaid,No Contract,35,367.65
CUST107459,Gurgaon,44,Female,Broadband,1-Year,47,2052.12
CUST107460,Mumbai,30,Male,Postpaid,2-Year,41,1254.27
CUST107461,Gurgaon,46,Female,Postpaid,1-Year,23,1406.84
CUST107462,Pune,40,Female,Postpaid,1-Year,42,1013.91
CUST107463,Gurgaon,25,Male,Postpaid,1-Year,45,1076.08
CUST107464,Gurgaon,38,Male,Broadband,2-Year,69,1743.55
CUST107465,Gurgaon,30,Female,Broadband,2-Year,40,2191.61
CUST107466,Noida,43,Female,Broadband,2-Year,56,892.43
CUST107467,Bangalore,60,Female,Broadband,2-Year,47,1596.43
CUST107468,Bangalore,27,Female,Postpaid,2-Year,65,1110.53
CUST107469,Gurgaon,46,Male,Postpaid,Month-to-Month,7,591.19
CUST107470,Noida,44,Female,Prepaid,No Contract,24,457.1
CUST107471,Delhi,21,Female,Prepaid,No Contract,8,481.05
CUST107472,Noida,59,Female,Postpaid,1-Year,8,827.15
CUST107473,Mumbai,48,Male,Postpaid,1-Year,27,685.31
CUST107474,Gurgaon,34,Male,Prepaid,No Contract,21,403.17
CUST107475,Mumbai,25,Female,Prepaid,No Contract,20,418.72
CUST107476,Bangalore,54,Male,Broadband,2-Year,30,1020.79
CUST107477,Delhi,37,Female,Prepaid,No Contract,18,322.05
CUST107478,Noida,64,Male,Postpaid,Month-to-Month,10,1458.76
